Antigen,Study,Clone,Cat_Number,Oligo_ID,TotalSeq_Cat,Vendor,Control,RRID,Lot,Custom_Antibody
CD23,LeCoz_2021,EBVCS-5,338525,0897,C,BioLegend,FALSE,NA,NA,NA
CD230,PomboAntunes_2021,3F4,800319,0432,A,BioLegend,FALSE,AB_2801138,NA,NA
CD235,Lawlor_2021,NA,NA,NA,NA,BioLegend,FALSE,NA,NA,NA
CD235a,Witkowski_2020,HI264,349117,0574,A,BioLegend,FALSE,AB_2783242,B272995,NA
CD235a,PomboAntunes_2021,HI264,349117,0574,A,BioLegend,FALSE,AB_2783242,NA,NA
CD235a,Vanuytsel_2020,HI264,349117,0574,NA,BioLegend,FALSE,AB_2783242,NA,NA
CD235a (Glycophorin A),Hao_2021,HI264,349117,0574,A,BioLegend,FALSE,AB_2783242,NA,NA
CD235a (Glycophorin A),Mimitou_2021,HI264,349117,0574,A,BioLegend,FALSE,NA,NA,NA
CD235a (Glycophorin A),Qian_2020,HI264,349117,0574,A,BioLegend,FALSE,NA,NA,NA
CD235a/b,Trzupek_2020,GA-R2,NA,NA,NA,BD Biosciences,FALSE,NA,NA,NA
CD235ab,Hao_2021,HIR2,306623,0196,A,BioLegend,FALSE,AB_2750008,NA,NA
CD235ab,PomboAntunes_2021,HIR2,306623,0196,A,BioLegend,FALSE,AB_2750008,NA,NA
CD235ab,Mimitou_2021,HIR2,306623,0196,A,BioLegend,FALSE,NA,NA,NA
CD235ab,Qian_2020,HIR2,306623,0196,A,BioLegend,FALSE,NA,NA,NA
CD235ab,Liu_2021,HIR2,306625,0196,C,BioLegend,FALSE,AB_2800792,NA,NA
CD235ab,Su_2020,HIR2,306625,0196,C,NA,FALSE,NA,NA,NA
CD235ab,Stephenson_2021,HIR2,NA,NA,NA,BioLegend,FALSE,NA,NA,NA
CD24,Fernandez_2020,ML5,311102,NA,NA,BioLegend,FALSE,NA,NA,NA
CD24,Kaufmann_2021,ML5,311102,NA,NA,BioLegend,FALSE,NA,B240399,NA
CD24,Hao_2021,ML5,311137,0180,A,BioLegend,FALSE,AB_2750374,NA,NA
CD24,Wu_2021_b,ML5,311137,0180,A,BioLegend,FALSE,AB_2750374,NA,NA
CD24,PomboAntunes_2021,ML5,311137,0180,A,BioLegend,FALSE,AB_2750374,NA,NA
CD24,Mimitou_2021,ML5,311137,0180,A,BioLegend,FALSE,NA,NA,NA
CD24,Qian_2020,ML5,311137,0180,A,BioLegend,FALSE,NA,NA,NA
CD24,Buus_2021,ML5,311143,0180,C,BioLegend,FALSE,AB_2800813,NA,NA
CD24,Liu_2021,ML5,311143,0180,C,BioLegend,FALSE,AB_2800813,NA,NA
CD24,Stephenson_2021,ML5,311143,0180,C,BioLegend,FALSE,NA,NA,NA
CD24,Su_2020,ML5,311143,0180,C,NA,FALSE,NA,NA,NA
CD24,LeCoz_2021,ML5,311143,0180,C,BioLegend,FALSE,NA,NA,NA
CD24,Qi_2020,ML5,940028,AHS0042,NA,BD Biosciences,FALSE,NA,NA,NA
CD24,Kotliarov_2020,ML5,custom made (similar to 95059),0180,A,BioLegend,FALSE,NA,B267438,TRUE
CD24,Hao_2021,ML5,NA,NA,C,BioLegend,FALSE,NA,NA,NA
CD24,Lawlor_2021,NA,NA,NA,NA,BioLegend,FALSE,NA,NA,NA
CD24,Mimitou_2019,ML5,NA,NA,NA,NA,FALSE,NA,NA,NA
CD24,Trzupek_2020,ML5,NA,NA,NA,BD Biosciences,FALSE,NA,NA,NA
CD24,Trzupek_2020,ML5,NA,NA,NA,BD Biosciences,FALSE,NA,NA,NA
CD24,Trzupek_2020,ML5,NA,NA,NA,BD Biosciences,FALSE,NA,NA,NA
CD243,PomboAntunes_2021,4E3.16,919407,0418,A,BioLegend,FALSE,AB_2810817,NA,NA
CD243 (ABCB1),Hao_2021,4E3.16,919407,0418,A,BioLegend,FALSE,AB_2810817,NA,NA
CD243 (ABCB1),Mimitou_2021,4E3.16,919407,0418,A,BioLegend,FALSE,NA,NA,NA
CD244,Witkowski_2020,C1.7,329527,0189,A,BioLegend,FALSE,AB_2750007,B278859,NA
CD244,PomboAntunes_2021,C1.7,329527,0189,A,BioLegend,FALSE,AB_2750007,NA,NA
CD244 (2B4),Hao_2021,C1.7,329527,0189,A,BioLegend,FALSE,AB_2750007,NA,NA
CD244 (2B4),Kotliarov_2020,C1.7,329527,0189,A,BioLegend,FALSE,AB_2750007,B264481,FALSE
CD244 (2B4),Mimitou_2021,C1.7,329527,0189,A,BioLegend,FALSE,NA,NA,NA
CD244 (2B4),Qian_2020,C1.7,329527,0189,A,BioLegend,FALSE,NA,NA,NA
CD244 (2B4),Nathan_2021,C1.7,329527,0189,NA,NA,FALSE,AB_2750007,NA,NA
CD244 (2B4),Liu_2021,C1.7,329529,0189,C,BioLegend,FALSE,AB_2800857,NA,NA
CD244 (2B4),Stephenson_2021,C1.7,329529,0189,C,BioLegend,FALSE,NA,NA,NA
CD244 (2B4),Su_2020,C1.7,329529,0189,C,NA,FALSE,NA,NA,NA
CD244 (2B4),LeCoz_2021,C1.7,329529,0189,C,BioLegend,FALSE,NA,NA,NA
CD25,Kaufmann_2021,BC96,302602,NA,NA,BioLegend,FALSE,NA,B164472,NA
CD25,Arunachalam_2020,BC96,302643,0085,A,BioLegend,FALSE,AB_2734258,NA,NA
CD25,Hao_2021,BC96,302643,0085,A,BioLegend,FALSE,AB_2734258,NA,NA
CD25,Kotliarov_2020,BC96,302643,0085,A,BioLegend,FALSE,AB_2734258,B269310,FALSE
CD25,Witkowski_2020,BC96,302643,0085,A,BioLegend,FALSE,AB_2734258,B271394,NA
CD25,Wu_2021_b,BC96,302643,0085,A,BioLegend,FALSE,AB_2734258,NA,NA
CD25,PomboAntunes_2021,BC96,302643,0085,A,BioLegend,FALSE,AB_2734258,NA,NA
CD25,Mimitou_2021,BC96,302643,0085,A,BioLegend,FALSE,NA,NA,NA
CD25,Qian_2020,BC96,302643,0085,A,BioLegend,FALSE,NA,NA,NA
CD25,Stuart_2019,BC96,302643,0085,NA,NA,FALSE,AB_2734258,NA,NA
CD25,Poch_2021,BC96,302643,0085,NA,Biolegend,FALSE,AB_2734258,NA,NA
CD25,Granja_2019,BC96,302647,NA,B,BioLegend,FALSE,NA,NA,NA
CD25,Buus_2021,BC96,302649,0085,C,BioLegend,FALSE,NA,NA,NA
CD25,Lee_2021,BC96,302649,0085,C,BioLegend,FALSE,NA,NA,NA
CD25,Liu_2021,BC96,302649,0085,C,BioLegend,FALSE,NA,NA,NA
CD25,Stephenson_2021,BC96,302649,0085,C,BioLegend,FALSE,NA,NA,NA
CD25,Su_2020,BC96,302649,0085,C,NA,FALSE,NA,NA,NA
CD25,LeCoz_2021,BC96,302649,0085,C,BioLegend,FALSE,NA,NA,NA
CD25,Hao_2021,CD25,NA,NA,C,BioLegend,FALSE,NA,NA,NA
CD25,Lawlor_2021,NA,NA,NA,NA,BioLegend,FALSE,NA,NA,NA
CD25,Mair_2020,2A3,NA,AHS0026,NA,BD Biosciences,FALSE,NA,NA,NA
CD25,10x29May2019,NA,NA,NA,B,BioLegend,FALSE,NA,NA,NA
CD25,10x7July2020,BC96,NA,NA,C,BioLegend,FALSE,NA,NA,NA
CD25,10x19Nov2018,NA,NA,NA,B,BioLegend,FALSE,NA,NA,NA
CD25,10x24July2019,BC96,NA,NA,C,BioLegend,FALSE,NA,NA,NA
CD25,10x19Nov2018-2,NA,NA,NA,C,BioLegend,FALSE,NA,NA,NA
CD25,10x24July2019-2,BC96,NA,NA,C,BioLegend,FALSE,NA,NA,NA
CD25,Trzupek_2020,M-A251,NA,NA,NA,BD Biosciences,FALSE,NA,NA,NA
CD25,Trzupek_2020,M-A251,NA,NA,NA,BD Biosciences,FALSE,NA,NA,NA
CD25,Trzupek_2020,M-A251,NA,NA,NA,BD Biosciences,FALSE,NA,NA,NA
CD25,RinconArevalo_2021,BC96,NA,NA,C,BioLegend,FALSE,NA,NA,NA
CD25 (IL2RA),Nathan_2021,BC96,302643,0085,NA,NA,FALSE,AB_2734258,NA,NA
CD25 (IL2RA),Trzupek_2021,2A3,940009,NA,NA,BD Biosciences,FALSE,NA,NA,NA
CD252,Hao_2021,11C3.1,NA,NA,A,BioLegend,FALSE,NA,NA,NA
CD252 (OX40L),Liu_2021,11C3.1,NA,0021,C,BioLegend,FALSE,NA,NA,NA
CD252 (OX40L),Mimitou_2021,11C3.1,NA,0021,A,BioLegend,FALSE,NA,NA,NA
CD252 (OX40L),Su_2020,11C3.1,NA,0021,C,NA,FALSE,NA,NA,NA
CD252 (OX40L),Qian_2020,11C3.1,NA,0021,A,BioLegend,FALSE,NA,NA,NA
CD252 (OX40L),Stephenson_2021,11C3.1,NA,NA,NA,BioLegend,FALSE,NA,NA,NA
CD253,PomboAntunes_2021,RIK-2,308211,0803,A,BioLegend,FALSE,AB_2800803,NA,NA
CD253 (Trail),Mimitou_2021,RIK-2,308211,0803,A,BioLegend,FALSE,NA,NA,NA
CD253 (TRAIL),Hao_2021,RIK-2,308211,0803,A,BioLegend,FALSE,AB_2800803,NA,NA
CD254,PomboAntunes_2021,MIH24,347509,0356,A,BioLegend,FALSE,AB_2750377,NA,NA
"CD254 (TRANCE, RANKL)",Qian_2020,MIH24,347509,0356,A,BioLegend,FALSE,NA,NA,NA
"CD254 (TRANCE, RANKL)",Liu_2021,MIH24,347511,0356,C,BioLegend,FALSE,AB_2810552,NA,NA
"CD254 (TRANCE, RANKL)",Su_2020,MIH24,347511,0356,C,NA,FALSE,NA,NA,NA
"CD254 (TRANCE, RANKL)",Stephenson_2021,MIH24,NA,NA,NA,BioLegend,FALSE,NA,NA,NA
CD257,PomboAntunes_2021,1D6,366509,0863,A,BioLegend,FALSE,AB_2810575,NA,NA
"CD257 (BAFF, BLYS)",Liu_2021,1D6,317213,0863,C,BioLegend,FALSE,AB_2832624,NA,NA
"CD257 (BAFF, BLYS)",Su_2020,1D6,317213,0863,C,NA,FALSE,NA,NA,NA
"CD257 (BAFF, BLYS)",Stephenson_2021,1D6,NA,NA,NA,BioLegend,FALSE,NA,NA,NA
CD258 (LIGHT),Liu_2021,T5-39,318711,1056,C,BioLegend,FALSE,AB_2832625,NA,NA
CD258 (LIGHT),Su_2020,T5-39,318711,1056,C,NA,FALSE,NA,NA,NA
CD258 (LIGHT),Stephenson_2021,T5-39,NA,NA,NA,BioLegend,FALSE,NA,NA,NA
CD26,Hao_2021,BA5b,302720,0396,A,BioLegend,FALSE,AB_2734261,NA,NA
CD26,Witkowski_2020,BA5b,302720,0396,A,BioLegend,FALSE,AB_2734261,B261043,NA
CD26,PomboAntunes_2021,BA5b,302720,0396,A,BioLegend,FALSE,AB_2734261,NA,NA
CD26,Mimitou_2021,BA5b,302720,0396,A,BioLegend,FALSE,NA,NA,NA
CD26,Qian_2020,BA5b,302720,0396,A,BioLegend,FALSE,NA,NA,NA
CD26,Buus_2021,BA5b,302722,0396,C,BioLegend,FALSE,AB_2810435,NA,NA
CD26,Liu_2021,BA5b,302722,0396,C,BioLegend,FALSE,AB_2810435,NA,NA
CD26,Stephenson_2021,BA5b,302722,0396,C,BioLegend,FALSE,NA,NA,NA
CD26,Su_2020,BA5b,302722,0396,C,NA,FALSE,NA,NA,NA
CD26,LeCoz_2021,BA5b,302722,0396,C,BioLegend,FALSE,NA,NA,NA
CD26,Hao_2021,BA5b,NA,NA,A,BioLegend,FALSE,NA,NA,NA
CD26 (Adenosine),Hao_2021,BA5b,NA,NA,C,BioLegend,FALSE,NA,NA,NA
CD26 (Adenosine),Mimitou_2019,BA5b,NA,NA,NA,NA,FALSE,NA,NA,NA
CD26 (DPP4),Nathan_2021,BA5b,302720,0396,NA,NA,FALSE,AB_2734261,NA,NA
CD26 (DPP4),Trzupek_2021,M-A261,940101,NA,NA,BD Biosciences,FALSE,NA,NA,NA
CD26 (DPP4),Trzupek_2020,M-A261,NA,NA,NA,BD Biosciences,FALSE,NA,NA,NA
CD267,Wu_2021_b,1A1,311913,0247,A,BioLegend,FALSE,AB_2783181,NA,NA
CD267,PomboAntunes_2021,1A1,311913,0247,A,BioLegend,FALSE,AB_2783181,NA,NA
CD267 (TACI),Hao_2021,1A1,311913,0247,A,BioLegend,FALSE,AB_2783181,NA,NA
CD267 (TACI),Mimitou_2021,1A1,311913,0247,A,BioLegend,FALSE,NA,NA,NA
CD267 (TACI),Qian_2020,1A1,311913,0247,A,BioLegend,FALSE,NA,NA,NA
CD267 (TACI),Liu_2021,1A1,311915,0247,C,BioLegend,FALSE,AB_2832615,NA,NA
CD267 (TACI),Stephenson_2021,1A1,311915,0247,C,BioLegend,FALSE,NA,NA,NA
CD267 (TACI),Su_2020,1A1,311915,0247,C,NA,FALSE,NA,NA,NA
CD267 (TACI),LeCoz_2021,1A1,311915,0247,C,BioLegend,FALSE,NA,NA,NA
CD268,Wu_2021_b,11C1,316925,0215,A,BioLegend,FALSE,AB_2750502,NA,NA
CD268,PomboAntunes_2021,11C1,316925,0215,A,BioLegend,FALSE,AB_2750502,NA,NA
CD268 (BAFF-R),Hao_2021,11C1,316925,0215,A,BioLegend,FALSE,AB_2750502,NA,NA
CD268 (BAFF-R),Mimitou_2021,11C1,316925,0215,A,BioLegend,FALSE,NA,NA,NA
CD268 (BAFF-R),Qian_2020,11C1,316925,0215,A,BioLegend,FALSE,NA,NA,NA
CD268 (BAFF-R),Liu_2021,11C1,316927,0215,C,BioLegend,FALSE,AB_2814172,NA,NA
CD268 (BAFF-R),Stephenson_2021,11C1,316927,0215,C,BioLegend,FALSE,NA,NA,NA
CD268 (BAFF-R),Su_2020,11C1,316927,0215,C,NA,FALSE,NA,NA,NA
CD268 (BAFF-R),LeCoz_2021,11C1,316927,0215,C,BioLegend,FALSE,NA,NA,NA
CD269,PomboAntunes_2021,19F2,357521,0056,A,BioLegend,FALSE,AB_2749974,NA,NA
CD269 (BCMA),Hao_2021,19F2,357521,0056,A,BioLegend,FALSE,AB_2749974,NA,NA
CD269 (BCMA),Mimitou_2021,19F2,357521,0056,A,BioLegend,FALSE,NA,NA,NA
CD269 (BCMA),Qian_2020,19F2,357521,0056,A,BioLegend,FALSE,NA,NA,NA
CD269 (BCMA),Liu_2021,19F2,357523,0056,C,BioLegend,FALSE,AB_2810568,NA,NA
CD269 (BCMA),Su_2020,19F2,357523,0056,C,NA,FALSE,NA,NA,NA
CD269 (BCMA),Stephenson_2021,19F2,NA,NA,NA,BioLegend,FALSE,NA,NA,NA
CD27,PomboAntunes_2021,LG.3A10,124235,0191,A,BioLegend,FALSE,AB_2750344,NA,NA
CD27,Qian_2020,LG.3A10,124235,0191,A,BioLegend,FALSE,NA,NA,NA
CD27,Kaufmann_2021,O323,302802,NA,NA,BioLegend,FALSE,NA,B186305,NA
CD27,Arunachalam_2020,O323,302847,0154,A,BioLegend,FALSE,AB_2750000,NA,NA
CD27,Hao_2021,O323,302847,0154,A,BioLegend,FALSE,AB_2750000,NA,NA
CD27,Kotliarov_2020,O323,302847,0154,A,BioLegend,FALSE,AB_2750000,B263620,FALSE
CD27,Wu_2021_b,O323,302847,0154,A,BioLegend,FALSE,AB_2750000,NA,NA
CD27,PomboAntunes_2021,O323,302847,0154,A,BioLegend,FALSE,AB_2750000,NA,NA
CD27,Mimitou_2021,O323,302847,0154,A,BioLegend,FALSE,NA,NA,NA
CD27,Qian_2020,O323,302847,0154,A,BioLegend,FALSE,NA,NA,NA
CD27,Nathan_2021,O323,302847,0154,NA,NA,FALSE,AB_2750000,NA,NA
CD27,Stuart_2019,O323,302847,0154,NA,NA,FALSE,AB_2750000,NA,NA
CD27,Liu_2021,O323,302853,0154,C,BioLegend,FALSE,AB_2800747,NA,NA
CD27,Shangguan_2021,O323,302853,0154,C,BioLegend,FALSE,AB_2800747,NA,NA
CD27,Stephenson_2021,O323,302853,0154,C,BioLegend,FALSE,NA,NA,NA
CD27,Su_2020,O323,302853,0154,C,NA,FALSE,NA,NA,NA
CD27,LeCoz_2021,O323,302853,0154,C,BioLegend,FALSE,NA,NA,NA
CD27,Trzupek_2021,M-T271,940018,AHS0025,NA,BD Biosciences,FALSE,NA,NA,NA
CD27,Qi_2020,M-T271,940018,AHS0025,NA,BD Biosciences,FALSE,NA,NA,NA
CD27,Fernandez_2020,REA499,custom made,NA,NA,Miltenyi,FALSE,NA,NA,NA
CD27,Hao_2021,M-T271,NA,NA,C,BioLegend,FALSE,NA,NA,NA
CD27,Lawlor_2021,NA,NA,NA,NA,BioLegend,FALSE,NA,NA,NA
CD27,Mair_2020,M-T271,NA,AHS0025,NA,BD Biosciences,FALSE,NA,NA,NA
CD27,Mimitou_2019,M-T271,NA,NA,NA,NA,FALSE,NA,NA,NA
CD27,10x29May2019,NA,NA,NA,B,BioLegend,FALSE,NA,NA,NA
CD27,Trzupek_2020,M-T271,NA,NA,NA,BD Biosciences,FALSE,NA,NA,NA
CD27,Trzupek_2020,M-T271,NA,NA,NA,BD Biosciences,FALSE,NA,NA,NA
CD27,Trzupek_2020,M-T271,NA,NA,NA,BD Biosciences,FALSE,NA,NA,NA
CD270,PomboAntunes_2021,122,318813,0020,A,BioLegend,FALSE,AB_2734293,NA,NA
"CD270 (HVEM, TR2)",Hao_2021,122,318813,0020,A,BioLegend,FALSE,AB_2734293,NA,NA
"CD270 (HVEM, TR2)",Mimitou_2021,122,318813,0020,A,BioLegend,FALSE,NA,NA,NA
"CD270 (HVEM, TR2)",Qian_2020,122,318813,0020,A,BioLegend,FALSE,NA,NA,NA
"CD270 (HVEM, TR2)",LeCoz_2021,122,318815,0020,C,BioLegend,FALSE,NA,NA,NA
CD271,PomboAntunes_2021,ME20.4,345123,0816,A,BioLegend,FALSE,AB_2814273,NA,NA
CD271 (NGFR),Hao_2021,ME20.4,345123,0816,A,BioLegend,FALSE,AB_2814273,NA,NA
CD271 (NGFR),Mimitou_2021,ME20.4,345123,0816,A,BioLegend,FALSE,NA,NA,NA
CD272,PomboAntunes_2021,MIH26,344525,0170,A,BioLegend,FALSE,AB_2750002,NA,NA
CD272 (BTLA),Hao_2021,MIH26,344525,0170,A,BioLegend,FALSE,AB_2750002,NA,NA
CD272 (BTLA),Mimitou_2021,MIH26,344525,0170,A,BioLegend,FALSE,NA,NA,NA
CD272 (BTLA),Qian_2020,MIH26,344525,0170,A,BioLegend,FALSE,NA,NA,NA
CD272 (BTLA),Nathan_2021,MIH26,344525,0170,NA,NA,FALSE,AB_2750002,NA,NA
CD272 (BTLA),Liu_2021,MIH26,344527,0170,C,BioLegend,FALSE,AB_2800919,NA,NA
CD272 (BTLA),Stephenson_2021,MIH26,344527,0170,C,BioLegend,FALSE,NA,NA,NA
CD272 (BTLA),Su_2020,MIH26,344527,0170,C,NA,FALSE,NA,NA,NA
CD272 (BTLA),LeCoz_2021,MIH26,344527,0170,C,BioLegend,FALSE,NA,NA,NA
CD273,PomboAntunes_2021,24F.10C12,329619,0008,A,BioLegend,FALSE,AB_2734321,NA,NA
"CD273 (B7-DC, PD-L2)",Hao_2021,24F.10C12,329619,0008,A,BioLegend,FALSE,AB_2734321,NA,NA
"CD273 (B7-DC, PD-L2)",Kotliarov_2020,24F.10C12,329619,0008,A,BioLegend,FALSE,AB_2734321,B259993,FALSE
"CD273 (B7-DC, PD-L2)",Mimitou_2021,24F.10C12,329619,0008,A,BioLegend,FALSE,NA,NA,NA
"CD273 (B7-DC, PD-L2)",Qian_2020,24F.10C12,329619,0008,A,BioLegend,FALSE,NA,NA,NA
"CD273 (B7-DC, PD-L2)",Liu_2021,24F.10C12,329621,0008,C,BioLegend,FALSE,AB_2800858,NA,NA
"CD273 (B7-DC, PD-L2)",Su_2020,24F.10C12,329621,0008,C,NA,FALSE,NA,NA,NA
"CD273 (B7-DC, PD-L2)",Stephenson_2021,24F.10C12,NA,NA,NA,BioLegend,FALSE,NA,NA,NA
CD274,Witkowski_2020,29E.2A3,329743,0007,A,BioLegend,FALSE,NA,B278846,NA
CD274,Buus_2021,29E.2A3,329751,0007,C,BioLegend,FALSE,AB_2800860,NA,NA
CD274,Qi_2020,MIH1,940035,AHS0004,NA,BD Biosciences,FALSE,NA,NA,NA
CD274,10x29May2019,NA,NA,NA,B,BioLegend,FALSE,NA,NA,NA
CD274,Frangieh_2021,29E.2A3,NA,0007,NA,BioLegend,FALSE,NA,NA,NA
"CD274 (B7-H1, PD-L1)",Hao_2021,29E.2A3,329743,0007,A,BioLegend,FALSE,NA,NA,NA
"CD274 (B7-H1, PD-L1)",Kotliarov_2020,29E.2A3,329743,0007,A,BioLegend,FALSE,NA,B263612,FALSE
"CD274 (B7-H1, PD-L1)",Mimitou_2021,29E.2A3,329743,0007,A,BioLegend,FALSE,NA,NA,NA
"CD274 (B7-H1, PD-L1)",Qian_2020,29E.2A3,329743,0007,A,BioLegend,FALSE,NA,NA,NA
"CD274 (B7-H1, PD-L1)",Liu_2021,29E.2A3,329751,0007,C,BioLegend,FALSE,AB_2800860,NA,NA
"CD274 (B7-H1, PD-L1)",Stephenson_2021,29E.2A3,329751,0007,C,BioLegend,FALSE,NA,NA,NA
"CD274 (B7-H1, PD-L1)",Su_2020,29E.2A3,329751,0007,C,NA,FALSE,NA,NA,NA
"CD274 (B7-H1, PD-L1)",LeCoz_2021,29E.2A3,329751,0007,C,BioLegend,FALSE,NA,NA,NA
CD274 (PD-L1),Arunachalam_2020,29E.2A3,329743,0007,A,BioLegend,FALSE,NA,NA,NA
CD275,PomboAntunes_2021,2D3,309413,0009,A,BioLegend,FALSE,AB_2734278,NA,NA
CD275,PomboAntunes_2021,9F.8A4,329809,0172,A,BioLegend,FALSE,AB_2750359,NA,NA
"CD275 (B7-H2, B7-RP1, ICOSL)",Hao_2021,9F.8A4,329809,0172,A,BioLegend,FALSE,AB_2750359,NA,NA
"CD275 (B7-H2, B7-RP1, ICOSL)",Mimitou_2021,9F.8A4,329809,0172,A,BioLegend,FALSE,NA,NA,NA
"CD275 (B7-H2, B7-RP1, ICOSL)",Qian_2020,9F.8A4,329809,0172,A,BioLegend,FALSE,NA,NA,NA
"CD275 (B7-H2, ICOSL)",Hao_2021,2D3,309413,0009,A,BioLegend,FALSE,AB_2734278,NA,NA
"CD275 (B7-H2, ICOSL)",Kotliarov_2020,2D3,309413,0009,A,BioLegend,FALSE,AB_2734278,B263787,FALSE
"CD275 (B7-H2, ICOSL)",Mimitou_2021,2D3,309413,0009,A,BioLegend,FALSE,NA,NA,NA
"CD275 (B7-H2, ICOSL)",Qian_2020,2D3,309413,0009,A,BioLegend,FALSE,NA,NA,NA
"CD275 (B7-H2, ICOSL)",Liu_2021,2D3,309419,0009,C,BioLegend,FALSE,NA,NA,NA
"CD275 (B7-H2, ICOSL)",Su_2020,2D3,309419,0009,C,NA,FALSE,NA,NA,NA
"CD275 (B7-H2, ICOSL)",Stephenson_2021,2D3,NA,NA,NA,BioLegend,FALSE,NA,NA,NA
CD275 (B7-H2),Trzupek_2021,2D3/B7-H2,940091,NA,NA,BD Biosciences,FALSE,NA,NA,NA
CD275 (B7-H2),Trzupek_2020,2D3/B7-H2,NA,NA,NA,BD Biosciences,FALSE,NA,NA,NA
CD275 (B7-H2),Trzupek_2020,2D3/B7-H2,NA,NA,NA,BD Biosciences,FALSE,NA,NA,NA
CD275 (B7-H2),Trzupek_2020,2D3/B7-H2,NA,NA,NA,BD Biosciences,FALSE,NA,NA,NA
CD276,PomboAntunes_2021,DCN.70,331607,0010,A,BioLegend,FALSE,AB_2734327,NA,NA
CD276 (B7-H3),Qian_2020,DCN.70,331607,0010,A,BioLegend,FALSE,NA,NA,NA
CD277,Wu_2021_b,BT3.1,342705,0030,A,BioLegend,FALSE,NA,NA,NA
CD277,PomboAntunes_2021,BT3.1,342705,0030,A,BioLegend,FALSE,N/A,NA,NA
CD277 (BT3.1),Qian_2020,BT3.1,NA,0030,A,BioLegend,FALSE,NA,NA,NA
CD278,Witkowski_2020,C398.4A,313555,0171,A,BioLegend,FALSE,AB_2800824,B282675,NA
CD278,PomboAntunes_2021,C398.4A,313555,0171,A,BioLegend,FALSE,AB_2800824,NA,NA
CD278,PomboAntunes_2021,C398.4A,313555,0171,A,BioLegend,FALSE,AB_2800824,NA,NA
CD278,Mair_2020,DX29,NA,AHS0012,NA,BD Biosciences,FALSE,NA,NA,NA
CD278,10x29May2019,NA,NA,NA,B,BioLegend,FALSE,NA,NA,NA
CD278 (ICOS),Liu_2021,C398.4A,313553,0171,C,BioLegend,FALSE,AB_2800823,NA,NA
CD278 (ICOS),Stephenson_2021,C398.4A,313553,0171,C,BioLegend,FALSE,NA,NA,NA
CD278 (ICOS),Su_2020,C398.4A,313553,0171,C,NA,FALSE,NA,NA,NA
CD278 (ICOS),LeCoz_2021,C398.4A,313553,0171,C,BioLegend,FALSE,NA,NA,NA
CD278 (ICOS),Hao_2021,C398.4A,313555,0171,A,BioLegend,FALSE,AB_2800824,NA,NA
CD278 (ICOS),Mimitou_2021,C398.4A,313555,0171,A,BioLegend,FALSE,NA,NA,NA
CD278 (ICOS),Qian_2020,C398.4A,313555,0171,A,BioLegend,FALSE,NA,NA,NA
CD278 (ICOS),Nathan_2021,C398.4A,313555,0171,NA,NA,FALSE,AB_2800824,NA,NA
CD278 (ICOS),Kotliarov_2020,C398.4A,custom made (similar to 95050),0171,A,BioLegend,FALSE,NA,B267439,TRUE
CD278_ICOS,Lawlor_2021,NA,NA,NA,NA,BioLegend,FALSE,NA,NA,NA
CD279,Witkowski_2020,EH12.2H7,329955,0088,A,BioLegend,FALSE,AB_2734322,B273256,NA
CD279,PomboAntunes_2021,EH12.2H7,329955,0088,A,BioLegend,FALSE,AB_2734322,NA,NA
CD279,Poch_2021,EH12.2H7,329955,0088,NA,Biolegend,FALSE,AB_2734322,NA,NA
CD279,Buus_2021,EH12.2H7,329963,0088,C,BioLegend,FALSE,AB_2800862,NA,NA
CD279,Shangguan_2021,EH12.2H7,329963,0088,C,BioLegend,FALSE,AB_2800862,NA,NA
CD279,Mair_2020,EH12.1,NA,AHS0014,NA,BD Biosciences,FALSE,NA,NA,NA
CD279,Frangieh_2021,EH12.2H7,NA,0088,NA,BioLegend,FALSE,NA,NA,NA
CD279 (PD-1),Arunachalam_2020,RMP1-30,109123,0004,A,BioLegend,FALSE,AB_2734169,NA,NA
CD279 (PD-1),Kaufmann_2021,EH12.2H7,329902,NA,NA,BioLegend,FALSE,NA,B250570,NA
CD279 (PD-1),Hao_2021,EH12.2H7,329955,0088,A,BioLegend,FALSE,AB_2734322,NA,NA
CD279 (PD-1),Kotliarov_2020,EH12.2H7,329955,0088,A,BioLegend,FALSE,AB_2734322,B269942,FALSE
CD279 (PD-1),Mimitou_2021,EH12.2H7,329955,0088,A,BioLegend,FALSE,NA,NA,NA
CD279 (PD-1),Qian_2020,EH12.2H7,329955,0088,A,BioLegend,FALSE,NA,NA,NA
CD279 (PD-1),Nathan_2021,EH12.2H7,329955,0088,NA,NA,FALSE,AB_2734322,NA,NA
CD279 (PD-1),Liu_2021,EH12.2H7,329963,0088,C,BioLegend,FALSE,AB_2800862,NA,NA
CD279 (PD-1),Stephenson_2021,EH12.2H7,329963,0088,C,BioLegend,FALSE,NA,NA,NA
CD279 (PD-1),Su_2020,EH12.2H7,329963,0088,C,NA,FALSE,NA,NA,NA
CD279 (PD-1),LeCoz_2021,EH12.2H7,329963,0088,C,BioLegend,FALSE,NA,NA,NA
CD279_PD1,Lawlor_2021,NA,NA,NA,NA,BioLegend,FALSE,NA,NA,NA
CD279(PD-1),Cadot_2020,EH12.2H7,329955,0088,A,BioLegend,FALSE,AB_2734322,NA,NA
CD28,Kaufmann_2021,CD28.2,302901,NA,NA,BioLegend,FALSE,NA,B207053,NA
CD28,Arunachalam_2020,CD28.2,302955,0386,A,BioLegend,FALSE,AB_2783159,NA,NA
